Agence,NomAgence,Référence,Type,Arrêt,Adresse,Ville,Secteur Inter.,Nom Client,Nom Technicien,adresse_complete,longitude,latitude
1,Agence Genas,AF259081,Ascenseur,Non,18 Rue Georges Lyvet ,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"18 Rue Georges Lyvet , VENISSIEUX, France",4.8703399,45.6981985
1,Agence Genas,AF259082,Ascenseur,Non,20 Rue Georges Lyvet ,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"20 Rue Georges Lyvet , VENISSIEUX, France",4.8705304,45.6980797
1,Agence Genas,AF259083,Ascenseur,Non,9 Avenue Jean Cagne,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"9 Avenue Jean Cagne, VENISSIEUX, France",4.8695982,45.6978757
1,Agence Genas,AF259084,Ascenseur,Non,11 Avenue Jean Cagne,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"11 Avenue Jean Cagne, VENISSIEUX, France",4.8697895,45.6977564
1,Agence Genas,AF259085,Ascenseur,Non,13 Avenue Jean Cagne,VENISSIEUX,65,LE NOUVEAU MONTCHAUD,Khalil BELLAL,"13 Avenue Jean Cagne, VENISSIEUX, France",4.8699803,45.6976372
1,Agence Genas,AF259087,Ascenseur,Non,18 BOULEVARD DES BELGES,LYON,56,SDC 18 BOULEVARD DES BELGES,Yaya DOUCOURE ,"18 BOULEVARD DES BELGES, LYON, France",4.8467914,45.7753429
1,Agence Genas,AF259108,EPMR elevtr pr pers a mobilité reduite,Non,89 RUE DU CUNIER,LIMONEST,6,89 RUE DU CUNIER,Aurélien GUERIN,"89 RUE DU CUNIER, LIMONEST, France",4.772716,45.838983
1,Agence Genas,AF259109,Porte piétonne,Non,9 RUE ALFRED DE MUSSET,VILLEURBANNE,21,EASTWOOD B - SNC BEL AIR,Romain RICORDEAU ,"9 RUE ALFRED DE MUSSET, VILLEURBANNE, France",4.915689,45.757089
1,Agence Genas,AF259110,Borne escamotable,Non,205 Rue du Château,DOLOMIEU,58,DOMAINE DE DOLOMIEU,Olivier VUILLAUME ,"205 Rue du Château, DOLOMIEU, France",5.4952142,45.6133931
1,Agence Genas,AF259111,Borne escamotable,Non,205 Rue du Château,DOLOMIEU,58,DOMAINE DE DOLOMIEU,Olivier VUILLAUME ,"205 Rue du Château, DOLOMIEU, France",5.4952142,45.6133931
1,Agence Genas,AF259112,Borne escamotable,Non,205 Rue du Château,DOLOMIEU,58,DOMAINE DE DOLOMIEU,Olivier VUILLAUME ,"205 Rue du Château, DOLOMIEU, France",5.4952142,45.6133931
1,Agence Genas,AF259115,Rideau,Non,42 RUE DE BREST,LYON,21,MILLET MOUNTAIN GROUP,Romain RICORDEAU ,"42 RUE DE BREST, LYON, France",4.8332656,45.7622368
1,Agence Genas,AF259117,Barrière Levante,Oui,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259118,Barrière Levante,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259119,Portail,Oui,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259120,Portail,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259124,Niveleur de quai,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259125,Niveleur de quai,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259126,Niveleur de quai,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259127,Niveleur de quai,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259128,Porte automatique,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259129,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
